,id,text,created_at,final fantasy,retweet_count,reply_count,like_count,quote_count,polarity
5818,1601240732463161345,Big takeaways  Hades     Holy shit  Judas  which looks very cool  Armored Core   Earthblade looks so good June is a STACKED month   Street Fighter   Diablo   Final Fantasy oh my ,2022-12-09T15:41:54.000Z,1.0,0,0,3,0,0.19099999999999998
5840,1601240221609099265,Finally caught up with the   I did not expect to see so many interesting games  These are the ones I will defo keep an eye on  Horizon DLC  obvs Final Fantasy XVIScars aboveArmored coreLords of the fallenBanishers ghosts of New edenJudasNightingale,2022-12-09T15:39:53.000Z,1.0,0,1,4,0,0.22727272727272724
6109,1601233947509198848,the last night event was so awesome and Im looking forward for Final Fantasy XVI  thank you Yoshi P     also Star Wars Jedi  Survivor given Ive played Fallen Order and I loved it ,2022-12-09T15:14:57.000Z,1.0,0,0,0,0,0.425
6295,1601230352973897728,Jedi Survivor LRG EditionStreet Fighter CEBaldurs Gate CEFinal Fantasy CEI is broke  Thank you,2022-12-09T15:00:40.000Z,1.0,0,3,10,0,0.0
6400,1601228772883451905,My picks Armored Core Final Fantasy Warhammer K  Space Marine Remnant Transformers ReactivateBlue Protocol  Anime Style WayfinderDiablo Tekken ReplacedForspokenSuicide SquadJedi Survivor,2022-12-09T14:54:23.000Z,1.0,2,0,4,0,0.0
6942,1601220282425147392,Tbh was actually fun to watch this year  So many cool games coming out next year  Final Fantasy is deff a day one for me,2022-12-09T14:20:39.000Z,1.0,0,0,0,0,0.22999999999999998
7087,1601217435767656448,Not Final Fantasy XIV winning two awards,2022-12-09T14:09:20.000Z,1.0,0,1,0,0,0.25
7307,1601212816744386562,  Armored Core VI  Final Fantasy XVI  Judas   Death Stranding   Jedi  Survivor   Diablo   Suicide Squad   Earthblade  Bayonetta Origins  Tekken   Horizon Burning Shores  Mario Movie   Street Fighter Best announcements has had in years,2022-12-09T13:50:59.000Z,1.0,0,0,2,0,0.5
7587,1601207135287005184,SQUARE ENIX Announces June   Launch for FINAL FANTASY XVI at The Game Awards,2022-12-09T13:28:24.000Z,1.0,0,0,0,0,-0.2
8035,1601197569627291648,Juego ms esperado  The Legend of Zelda Tears of the Kingdom Final Fantasy XVI Hogwarts Legacy Resident Evil  Starfield,2022-12-09T12:50:24.000Z,1.0,0,0,1,0,-0.5
8059,1601197157071011840,Final Fantasy XVI now has an official release date  June nd  ,2022-12-09T12:48:45.000Z,1.0,0,0,0,0,0.0
8103,1601196232692862976,Final Fantasy XIV remporte l award Best Community Support  ,2022-12-09T12:45:05.000Z,1.0,0,0,0,0,0.5
8158,1601194986481266688,TGA    Final Fantasy   Gets June Release,2022-12-09T12:40:08.000Z,1.0,0,0,1,0,0.0
8274,1601192060153106435,this year have been the best I ve seen yet  loved the trailers and world premieres  specially Death Stranding   Hades   Final Fantasy XVI  Judas and Cereza Every award very well deserved  and a very worthy winner for game of the yearStill sad TMNT got nothing,2022-12-09T12:28:30.000Z,1.0,0,0,2,0,0.22380952380952385
8823,1601180803203215360,fortnite fans getting upset because final fantasy won best community support at the game awards is so stupid  most people who play just fortnite dont understand how powerful a game like ff14 is with its amazing fanbase and developers ,2022-12-09T11:43:46.000Z,1.0,0,0,0,0,0.10000000000000002
8899,1601178921734930432,TODOS LOS ANUNCIOS DE THE GAME AWARDS   DEAT STRANDING   ARMORED CORE   FINAL FANTASY,2022-12-09T11:36:18.000Z,1.0,1,0,1,0,-0.2
8952,1601177538868703232,Prediction for next year s GAME OF THE YEAR NOMINEESTARFIELDSPIDER MAN THE LEGEND OF ZELDA  TEARS OF THE KINGDOMFINAL FANTASY XVIHOGWARTS LEGACYWINNER THE LEGEND OF ZELDA  TEARS OF THE KINGDOM,2022-12-09T11:30:48.000Z,1.0,0,0,2,0,-0.2
8966,1601177178762534913,Death Stranding Star Wars Jedi  Survivor  17 3 23 Diablo IV  6 6 23 Armored Core VI  2023 Final Fantasy XVI  22 6 23 Dune  AwakeningHades IIJudasHellboy  Web of WyrdCrime Boss  Rockay City  28 3 ,2022-12-09T11:29:22.000Z,1.0,2,0,3,0,0.0
9105,1601173895864020992,Trailer   Final Fantasy XVI    ,2022-12-09T11:16:19.000Z,1.0,0,0,0,0,0.0
