,id,text,created_at,mario,retweet_count,reply_count,like_count,quote_count,polarity
19131,1601068873562099712,Anyway  Game Awards went well this year  Cool announcements  cute Mario Movie clip  one game didn t completely sweep everything  Animal s appearance was fun  I even got a free game code thanks to Twitch In all   10  Crazy Frog Racer wasn t announced   jk ,2022-12-09T04:19:00.000Z,1.0,0,0,0,0,0.004999999999999993
19214,1601068718104014849,Out of all the things that I loved the most about it definite was the clip of All the musical references are so good and the small details  NGL  it made me tear up  I m always gonna be a Mario fan     even more than Sonic ,2022-12-09T04:18:23.000Z,1.0,1,1,5,0,0.3071428571428571
20073,1601067495171186688,Congrats to Nintendo for a HUGE wins at with Best Action  Bayo    Best Multiplayer  Splat    Best Sim Strat  Mario  amp  Rabbids   Best Family  Kirby  amp  the Forgotten Land  and Most Anticipated  LoZ  Tears of the Kingdom ,2022-12-09T04:13:31.000Z,1.0,0,0,0,0,0.6625000000000001
20087,1601067479836413952,de mario en los Game awards        Fans de sonic en los Game awards ,2022-12-09T04:13:28.000Z,1.0,0,0,2,0,-0.4
20386,1601067130786840578,Mario   Rabbids Sparks of Hope wins Best Strategy Game in    Congratulations to and his team of Ubisoft Milan and Paris ,2022-12-09T04:12:05.000Z,1.0,43,3,167,1,0.3
20556,1601066950498881537,At least Mario   Rabbids  Kirby  and Splatoon got awards  Im happy for those games getting awards  they definitely deserved it,2022-12-09T04:11:22.000Z,1.0,0,0,0,0,0.16666666666666666
20622,1601066868109983745,Sonic Frontiers lost Players Choice for which is extremely unfortunateTho hey Im still very happy that Kirby  Mario   Rabbids  Splatoon and Stray won awards,2022-12-09T04:11:02.000Z,1.0,0,1,2,0,0.4375
21045,1601066446083145728,The Mario Movie clip at   The voice LITERALLY isn t that bad ,2022-12-09T04:09:21.000Z,1.0,0,0,0,0,-0.6999999999999998
21081,1601066415205011456,Paper Mario  The Thousand Year Door has been robbed once again,2022-12-09T04:09:14.000Z,1.0,0,0,0,0,0.0
21133,1601066368262094848,Top story  FROM SERGIO    Wahoo  is here to share an exclusive clip from The Super Mario Bros  Movie      see more,2022-12-09T04:09:03.000Z,1.0,0,0,1,0,0.4444444444444444
